Temperature Offsets
Date of Calibration:,10-29-18,11:02:45
TOP:,1.49,BOT:,0.48
LED Calibration:,500

TIME,PLATE,TUBE,DISK TOP,DISK BOTTOM,FLUID TEMP,PIEZO CURRENT, LED CURRENT
08:45:16,70.83,93.57,51.75,47.99,50.50,0, ,
08:45:26,69.14,92.01,51.86,48.35,50.69,0, ,
08:45:36,67.84,90.43,52.06,48.68,50.93,0, ,
08:45:46,66.72,88.90,52.26,48.95,51.13,0, ,
08:45:56,65.59,87.49,52.23,49.09,51.18,0, ,
08:46:08,64.85,86.07,52.30,49.30,51.29,0, ,
08:46:16,64.07,84.58,52.36,49.43,51.37,0, ,
08:46:26,63.32,83.28,52.36,49.52,51.42,0, ,
08:46:36,63.27,81.99,52.33,49.70,51.44,0, ,
08:46:46,62.53,80.79,52.42,49.72,51.52,0, ,
08:46:56,61.81,79.60,52.45,49.80,51.56,0, ,
08:47:06,61.58,78.49,52.41,49.90,51.57,0, ,
08:47:16,60.94,77.39,52.48,49.87,51.60,0, ,
08:47:26,60.94,76.36,52.41,49.90,51.57,0, ,
08:47:36,60.44,75.37,52.39,49.87,51.55,0, ,
08:47:46,60.05,74.39,52.36,49.92,51.55,0, ,
08:47:56,59.50,73.48,52.32,49.91,51.52,0, ,
08:48:06,59.22,72.59,52.23,49.91,51.46,0, ,
08:48:16,58.72,71.70,52.21,49.92,51.45,0, ,
08:48:26,58.80,70.90,52.16,49.98,51.42,0, ,
08:48:36,58.49,70.10,52.08,49.94,51.37,0, ,
08:48:46,58.39,69.31,52.10,49.94,51.37,0, ,
08:48:56,57.92,68.57,52.03,49.92,51.32,0, ,
08:49:06,57.76,67.86,52.02,49.89,51.31,0, ,
08:49:16,57.88,67.17,51.98,49.94,51.30,0, ,
08:49:26,57.32,66.52,51.90,49.92,51.24,0, ,
08:49:36,56.86,65.84,51.93,49.91,51.26,0, ,
08:49:46,72.41,65.47,51.72,49.91,51.13,0, ,
08:49:56,85.19,65.33,52.58,50.15,51.77,0, ,
08:50:06,95.04,65.47,53.78,50.69,52.73,0, ,
08:50:16,103.11,65.78,55.12,51.48,53.90,0, ,
08:50:26,109.69,66.23,56.52,52.56,55.15,0, ,
08:50:36,108.24,66.67,58.05,53.55,56.55,0, ,
08:50:46,108.32,67.04,59.81,54.93,58.13,0, ,
08:50:56,109.56,67.40,61.12,56.18,59.43,0, ,
08:51:06,111.41,67.74,62.14,57.45,60.53,0, ,
08:51:16,111.26,68.03,63.28,58.77,61.71,0, ,
08:51:26,84.15,68.33,64.42,60.08,62.93,0, ,
08:51:36,109.89,68.61,65.60,61.15,64.11,0, ,
08:51:46,109.16,68.88,66.44,62.22,65.03,0, ,
08:51:56,108.28,69.13,67.44,63.18,66.02,0, ,
08:52:06,109.03,69.37,68.12,64.10,66.78,0, ,
08:52:16,109.33,69.59,68.72,64.88,67.44,0, ,
08:52:26,106.06,69.79,69.50,65.65,68.18,0, ,
08:52:36,101.20,69.77,69.90,66.51,68.70,0, ,
08:52:46,97.31,69.67,70.10,67.34,69.18,0, ,
08:52:56,94.51,69.56,69.97,67.47,69.14,0, ,
08:53:06,93.64,69.50,69.75,67.47,68.96,0, ,
08:53:16,91.94,69.34,69.70,67.59,69.00,0, ,
08:53:26,90.64,69.15,69.93,67.89,69.23,0, ,
08:53:36,88.18,68.95,69.82,67.84,69.17,0, ,
08:53:46,87.24,68.77,69.57,67.76,68.97,0, ,
08:53:56,88.05,68.60,69.36,67.65,68.80,0, ,
08:54:06,87.73,68.45,69.29,67.59,68.72,0, ,
08:54:16,84.31,68.31,69.13,67.30,68.52,0, ,
08:54:26,81.53,68.09,68.88,67.25,68.34,0, ,
08:54:36,79.36,67.82,68.64,67.15,68.14,0, ,
08:54:46,77.63,67.50,68.37,66.99,67.92,0, ,
08:54:56,76.35,67.19,68.06,66.76,67.63,0, ,
